,user,averages_distance,variances_distance
57,athensjw,0.25,106.84121544727522
58,mrc-panic!,0.16,133.37265901444383
59,karenkacurin,0.19,75.11210426310889
60,122728352,0.13,253.3393609247538
61,valter___soares,0.46,855.2586308192882
62,11157767070,0.26,411.14498496419486
63,bf04hngc7bjuwpvzgknxo5q0a,0.33,673.7374349036901
64,h9ktizija2baqjr8zw0vzr5vo,0.3,628.5638226461932
65,22ngz47ylqmjub434cf1lrwkk,0.26,634.6670350564948
66,ae6l5wf72ujl9qhnasthrx3b2,0.47,871.5412202351458
67,qtgnhmgdyogtzuc6fwttk8aan,0.42,822.3281362456293
68,vdfv9jaryenwf1ii09mp6qrjj,0.23,615.195812263569
69,6ogp04wbngt0us3t5wj6xv7nq,0.46,626.9703829890938
70,2016marcosantipolo,0.2,108.83122266556057
71,0fhvt0m1vhkl5wiz01329noel,0.37,418.5380658556932
72,1159979060,0.09,73.49332673205781
73,fbhksp,0.32,307.33608606121015
74,4k6llzcuuu1hi2ofgyxa9war2,0.31,343.8105570438514
75,crossmoth,0.46,305.4137231716411
76,d5c4oelnb6rwnlso2p7e1qi7w,0.26,173.91091516047942
77,41tkabkilyx2zkr8hlltyfmtg,0.19,110.81391535469706
78,0beng3fk6ynn9c22x700varkd,0.17,99.14601427982528
79,nwbhoiyirqrin3zoj6tsa8fpi,0.1,364.3744544668836
80,mdhkcsjfns0fn1xh0wsor8v89,0.19,167.55745871584048
81,nuelect,0.3,400.9831288623317
82,pdjlhj5pwa7c7nm8pfww13pju,0.23,147.10398051540525
83,12169281660,0.18,275.0752629432085
84,y9kqc3nebfjoyci4yrosmg6ot,0.07,98.9700223763641
85,0jys7eifth3i82rdkiuih1jtk,0.34,128.36081335510616
86,ve9970biuo9rc954dnnjfl15q,0.28,93.31887766461412
87,4fbt2mg0aikv8ivuc28u2muoc,0.18,165.2201396088998
88,z9cp5f0il9vulm23papdm2n00,0.25,262.9677804059355
89,nvy1l3fuhf2srit863wm50fyl,0.32,624.4156252716373
90,3coxqftp49wh3e07wj0tq01j6,0.12,80.07682005827795
91,8yng2ptktmo0csoo5oef3cozp,0.18,335.2558413675464
92,radughemis,0.22,100.37213698486799
93,onevizse,0.15,85.58404429395324
94,ktchoa,0.22,124.92901750293186
95,aqiyexjg1j992m8mwbzgjsrym,0.31,587.7471342677819
96,truenorthrecords,0.22,173.084884011835
97,parleone,0.4,439.9725879561538
98,officinasonora,0.63,564.9983359510113
99,ds14fish0lnr5bp3zrumkumhb,0.2,449.33076613578237
100,8nt0o8b6djzsdaw6ogljxmaqb,0.17,116.24725703418191
101,1222657134,0.28,291.6695431121513
102,wearediamond,0.18,711.8580707053114
103,chilledcow,0.97,571.3821819937492
104,1179690246,0.36,811.6352258210836
105,wukimusic,0.43,439.32391872362433
106,jadudala,0.53,485.65845385827134
107,djsnake_official,0.43,384.0601310875605
108,dj4b,0.36,680.2481207586147
109,lucianofficial,0.12,547.7430180459405
110,awonderdj,0.4,124.61037962581752
111,1251354538,0.29,241.26380187115151
112,ramzoidmusic,0.21,102.40291864434248
113,neversaydieofficial,0.59,619.5214242723408
114,slanderofficial,0.45,409.5821986811692
115,o2t1gachojvd9zpe4fznbrsjg,0.57,616.4337422500996
116,wearebrohug,0.76,944.1913509402465
117,fvckdivmonds,0.56,655.5396643487212
118,itsjameshype,0.54,845.8509983277742
119,jfchwv2q5gfzxr9ee8vdyebku,0.37,524.3147024898252
120,jackwinsmusic,0.53,842.4620491888942
121,oxenbutcher,0.27,450.59014821786485
122,zpwskc6zeoa0h9h9dkxptygp6,0.46,707.2015544863804
123,eonitymusic,0.32,253.36170404798983
124,8fwecnm0bvx3bpchhg3ntes2f,0.68,923.1435509332331
125,5ml9kjs1sj9deiwbjvk4tdmn7,0.68,627.972656760881
126,31figmscdbgftstt6jhyuo4nncha,0.23,57.600236104773046
127,zgk6mml4c0qetgqjdiow1z6qy,0.21,442.4415073633572
128,q50odtetqgrl1roiflwmsv763,0.23,322.0356361041653
129,5gnk1suthrjmi2fy4mx0oq5or,0.9,999.4865071880233
130,bokum8nv111606bergkax18do,0.78,958.7241625522336
131,lucasaf01-br,0.27,421.33107339475214
132,46540vk6hk2v5fh7zrej4rz8p,0.24,227.6529943914477
133,rpt4hecmlm0ak5vrhtqooq265,0.37,403.3843328812202
134,hxhgluszud3h27ensf9x736af,0.46,527.3151652519152
135,8mh5vjcu8uurb4nwn7fvzyg8b,0.23,347.89663486197156
136,haj99novo33p92db2zf2dswdb,0.27,393.785840667092
137,xuakvfi05qxb5dadu77o9udin,0.38,805.2399216051108
138,franpotencia,0.23,115.38786635606894
139,serjezizzo,0.41,629.0048897769633
140,hubrecords,0.5,867.0920595657415
141,noraenpure,0.89,947.4820532481567
142,sonsofmaria,0.51,769.5666547382968
143,31aofhkhwl4ffq2rfyl5gdgc2qdm,0.31,472.39014076721384
144,1pg9k6ug83tfus4pfxerfwu71,0.41,539.474606531936
145,msyzwudoikt1oea56jmzm5dhq,0.57,776.4282927290687
146,uoak,0.67,926.5628467253496
147,69wqbo1dhjwit0w11estf2c8i,0.41,586.1446598993778
148,7sj8zj2mq41yrtbqxl71ysrb5,0.39,356.67760706681753
149,7qot8jp1r4y7isf0fn31rgfpj,0.84,925.1557673074617
150,1125474112,0.35,493.4481893618709
151,dft73bz7owss3mncebwv2de9t,0.33,393.1676126841432
152,1156870903,0.38,563.8572546848109
153,wd7g8i2filygbks0sgk8hnj8d,0.84,966.0238005140884
154,5y1mb6h4t2qlq6f3nno6set8x,0.38,547.2291673470104
155,itstomix,0.37,507.660550623294
156,futurediscomusic,0.77,964.5161051806267
157,m9xmat215fxew2ehw7ozws8ws,0.46,853.1827966282939
158,oproblemaegrave,0.46,830.1917694108998
159,21ikkzjpsqgvcp4eiz4gpe7gi,0.52,867.0706581400683
160,2rq61ec2wepsfsnpoh9c8r877,0.35,391.32244921474654
161,d38sqg3bqvn9gljyderq6m787,0.54,561.810042402123
162,golddiggerrecs,0.63,799.9798293877983
163,o2aoshvsdh7q2041x8vxawkha,0.41,508.70292850285006
164,groovebassment,0.64,913.2375223582196
